k	beta	x	y	norm
0	0.125	2.5625	3.8125	22.1585
1	1	1.79119	0.208807	20.576
2	1	2.22045e-16	0.208807	13.6021
3	1	3.33067e-16	1.1044	4.87808
4	1	0.138502	1.8615	1.44527
5	1	2.77556e-17	1.8615	0.785363
6	1	0.00448512	1.99551	0.141134
7	1	1.82146e-17	1.99551	0.0253717
8	1	5.01782e-06	1.99999	0.00448521
9	1	5.08321e-17	1.99999	2.83851e-05
10	1	6.29475e-12	2	5.01786e-06
11	5.68434e-14	6.29475e-12	2	3.56091e-11
12	5.68434e-14	6.29475e-12	2	3.56091e-11
13	5.68434e-14	6.29475e-12	2	3.56091e-11
14	5.68434e-14	6.29475e-12	2	3.56091e-11
15	5.68434e-14	6.29475e-12	2	3.56091e-11
16	5.68434e-14	6.29475e-12	2	3.56091e-11
17	5.68434e-14	6.29475e-12	2	3.56091e-11
18	5.68434e-14	6.29475e-12	2	3.56091e-11
19	5.68434e-14	6.29475e-12	2	3.56091e-11
20	5.68434e-14	6.29475e-12	2	3.56091e-11
21	5.68434e-14	6.29475e-12	2	3.56091e-11
22	5.68434e-14	6.29475e-12	2	3.56091e-11
23	5.68434e-14	6.29475e-12	2	3.56091e-11
24	5.68434e-14	6.29475e-12	2	3.56091e-11
25	5.68434e-14	6.29475e-12	2	3.56091e-11
26	5.68434e-14	6.29475e-12	2	3.56091e-11
27	5.68434e-14	6.29475e-12	2	3.56091e-11
28	5.68434e-14	6.29475e-12	2	3.56091e-11
29	5.68434e-14	6.29475e-12	2	3.56091e-11
30	5.68434e-14	6.29475e-12	2	3.56091e-11
31	5.68434e-14	6.29475e-12	2	3.56091e-11
32	5.68434e-14	6.29475e-12	2	3.56091e-11
33	5.68434e-14	6.29475e-12	2	3.56091e-11
34	5.68434e-14	6.29475e-12	2	3.56091e-11
35	5.68434e-14	6.29475e-12	2	3.56091e-11
36	5.68434e-14	6.29475e-12	2	3.56091e-11
37	5.68434e-14	6.29475e-12	2	3.56091e-11
38	5.68434e-14	6.29475e-12	2	3.56091e-11
39	5.68434e-14	6.29475e-12	2	3.56091e-11
40	5.68434e-14	6.29475e-12	2	3.56091e-11
41	5.68434e-14	6.29475e-12	2	3.56091e-11
42	5.68434e-14	6.29475e-12	2	3.56091e-11
43	5.68434e-14	6.29475e-12	2	3.56091e-11
44	5.68434e-14	6.29475e-12	2	3.56091e-11
45	5.68434e-14	6.29475e-12	2	3.56091e-11
46	5.68434e-14	6.29475e-12	2	3.56091e-11
47	5.68434e-14	6.29475e-12	2	3.56091e-11
48	5.68434e-14	6.29475e-12	2	3.56091e-11
49	5.68434e-14	6.29475e-12	2	3.56091e-11
50	5.68434e-14	6.29475e-12	2	3.56091e-11
51	5.68434e-14	6.29475e-12	2	3.56091e-11
52	5.68434e-14	6.29475e-12	2	3.56091e-11
53	5.68434e-14	6.29475e-12	2	3.56091e-11
54	5.68434e-14	6.29475e-12	2	3.56091e-11
55	5.68434e-14	6.29475e-12	2	3.56091e-11
56	5.68434e-14	6.29475e-12	2	3.56091e-11
57	5.68434e-14	6.29475e-12	2	3.56091e-11
58	5.68434e-14	6.29475e-12	2	3.56091e-11
59	5.68434e-14	6.29475e-12	2	3.56091e-11
60	5.68434e-14	6.29475e-12	2	3.56091e-11
61	5.68434e-14	6.29475e-12	2	3.56091e-11
62	5.68434e-14	6.29475e-12	2	3.56091e-11
63	5.68434e-14	6.29475e-12	2	3.56091e-11
64	5.68434e-14	6.29475e-12	2	3.56091e-11
65	5.68434e-14	6.29475e-12	2	3.56091e-11
66	5.68434e-14	6.29475e-12	2	3.56091e-11
67	5.68434e-14	6.29475e-12	2	3.56091e-11
68	5.68434e-14	6.29475e-12	2	3.56091e-11
69	5.68434e-14	6.29475e-12	2	3.56091e-11
70	5.68434e-14	6.29475e-12	2	3.56091e-11
71	5.68434e-14	6.29475e-12	2	3.56091e-11
72	5.68434e-14	6.29475e-12	2	3.56091e-11
73	5.68434e-14	6.29475e-12	2	3.56091e-11
74	5.68434e-14	6.29475e-12	2	3.56091e-11
75	5.68434e-14	6.29475e-12	2	3.56091e-11
76	5.68434e-14	6.29475e-12	2	3.56091e-11
77	5.68434e-14	6.29475e-12	2	3.56091e-11
78	5.68434e-14	6.29475e-12	2	3.56091e-11
79	5.68434e-14	6.29475e-12	2	3.56091e-11
80	5.68434e-14	6.29475e-12	2	3.56091e-11
81	5.68434e-14	6.29475e-12	2	3.56091e-11
82	5.68434e-14	6.29475e-12	2	3.56091e-11
83	5.68434e-14	6.29475e-12	2	3.56091e-11
84	5.68434e-14	6.29475e-12	2	3.56091e-11
85	5.68434e-14	6.29475e-12	2	3.56091e-11
86	5.68434e-14	6.29475e-12	2	3.56091e-11
87	5.68434e-14	6.29475e-12	2	3.56091e-11
88	5.68434e-14	6.29475e-12	2	3.56091e-11
89	5.68434e-14	6.29475e-12	2	3.56091e-11
90	5.68434e-14	6.29475e-12	2	3.56091e-11
91	5.68434e-14	6.29475e-12	2	3.56091e-11
92	5.68434e-14	6.29475e-12	2	3.56091e-11
93	5.68434e-14	6.29475e-12	2	3.56091e-11
94	5.68434e-14	6.29475e-12	2	3.56091e-11
95	5.68434e-14	6.29475e-12	2	3.56091e-11
96	5.68434e-14	6.29475e-12	2	3.56091e-11
97	5.68434e-14	6.29475e-12	2	3.56091e-11
98	5.68434e-14	6.29475e-12	2	3.56091e-11
99	5.68434e-14	6.29475e-12	2	3.56091e-11
